trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
167,False,"{'a': 0.02, 'e': -0.9803817461388988}",20,9,19.956512772834238,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.02, 'e': -0.9762437756724099}",20,0,28.837650841925356,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.02, 'e': -0.9717153207120621}",20,3,31.810715388854995,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.02, 'e': -0.9667981925794611}",30,13,30.216754272935855,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.02, 'e': -0.9614943580602988}",20,8,20.758130680844914,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.02, 'e': -0.9558059386176664}",20,11,14.733860814939705,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.02, 'e': -0.9497352095434961}",35,26,17.110599607248567,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.02, 'e': -0.9432845990484758}",20,13,13.553520667139157,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.02, 'e': -0.9364566872907963}",30,18,23.388046931748917,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.02, 'e': -0.9292542053441233}",25,20,9.958843010164351,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.02, 'e': -0.9216800341052034}",25,8,31.06079835104021,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.02, 'e': -0.9137372031415447}",30,13,34.26334759097137,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.02, 'e': -0.9054288894796296}",30,15,30.835003499074784,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.02, 'e': -0.896758416334147}",30,15,26.28974744471878,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.02, 'e': -0.8877292517787501}",20,0,25.473216414144268,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.02, 'e': -0.8783450073588739}",25,17,13.833851256726991,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.02, 'e': -0.8686094366471648}",30,15,28.30255013183208,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
